kontrahent_id,nazwa,nip,regon,kraj,miasto,kod_pocztowy,ulica,email,telefon,typ,opiekun_handlowy,data_utworzenia,status
1782,Gabinety Portka-Prucnal Sp.j. Sp. z o.o.,5050969964,205994946,PL,Dzierżoniów,07-394,pl. Konarskiego 49,kontakt@gabinety.pl,+48 26 437 30 52,dostawca,pani Roksana Celuch,2022-05-08,aktywny
1783,PPUH Heinrich-Kominiak Sp. z o.o. Sp.k. Sp. J.,2280588371,795700566,PL,Ciechanów,04772,pl. Skłodowskiej-Curie 794,kontakt@ppuh.pl,+48 92 411 40 54,dostawca,Eryk Burdach,2021-03-14,nieaktywny
1784,Spółdzielnia Smoter-Demiańczuk s.c. Sp. J.,4762539509,928486625,PL,Mińsk Mazowiecki,20-207,ul. Piaskowa 09/26,kontakt@spółdzielnia.pl,+48 22 218 52 30,dostawca,Ernest Masłoń,2024-02-21,aktywny
1785,Piszcz-Berg Sp.j. S.A.,2778882605,337349637,PL,Ostrołęka,46-923,plac Długosza 64/57,kontakt@piszcz-berg.pl,+48 67 382 78 85,klient,Kazimierz Dworniczak,2023-03-24,aktywny
1786,Fundacja Rząd Spółka z o.o.,8809718615,958212496,PL,Tychy,23-261,al. Jagiellońska 00,kontakt@fundacja.pl,+48 27 282 87 38,dostawca,Anna Maria Grzebyk,2024-03-29,nieaktywny
1787,PPUH Wołodźko Spółka z o.o.,5920559671,444859212,PL,Żyrardów,68-877,aleja Długosza 51,kontakt@ppuh.pl,+48 74 713 87 21,klient,Fryderyk Bulak,2022-09-02,aktywny
1788,Stowarzyszenie Łój sp.k.,8304576277,368557996,PL,Grudziądz,23-914,plac Wyspiańskiego 89,kontakt@stowarzyszenie.pl,+48 98 206 21 59,klient,pan Jakub Szymajda,2024-07-22,nieaktywny
1789,Dziopa-Bytner Sp.j. sp.k.,7015221337,506857607,PL,Nowy Targ,55-018,ul. Makuszyńskiego 701,kontakt@dziopa-bytner.pl,+48 18 107 75 35,dostawca,pan Marcel Ziarnik,2025-09-13,aktywny
1790,Bulanda-Omiotek s.c. Sp. J.,1289899304,837509353,PL,Będzin,35158,aleja Słowackiego 05,kontakt@bulanda-omiotek.pl,+48 46 499 23 24,oba,Rozalia Dębniak,2023-04-28,aktywny
1791,Spółdzielnia Ochnio-Heleniak i syn s.c. sp.k.,9799271566,152225319,PL,Tczew,96-071,aleja Brzechwy 09/61,kontakt@spółdzielnia.pl,+48 38 633 96 72,oba,pan Stefan Niedojadło,2026-05-19,aktywny
1792,Spółdzielnia Fogiel Sp. z o.o. Sp.k. sp. z o.o.,858-986-81-80,929968179,PL,Wejherowo,20-569,plac Staszica 694,kontakt@spółdzielnia.pl,+48 41 689 69 60,oba,Radosław Pianka,2023-04-13,aktywny
1793,Musiolik S.A. sp.k.,0073794997,756828796,PL,Skierniewice,97-789,al. Dobra 09/57,kontakt@musiolik.pl,+48 46 420 69 97,oba,Anita Helak,2023-05-23,nieaktywny
1794,Sakwa Sp. z o.o. Sp.k. Spółka z o.o.,4107692623,514036320,PL,Śrem,81-780,ul. Piłsudskiego 60/29,kontakt@sakwa.pl,+48 47 769 39 48,dostawca,Jeremi Kusztal,2024-07-14,nieaktywny
1795,Hołysz S.A. Sp. z o.o.,6043598390,653755174,PL,Ruda Śląska,46-934,ul. Mieszka I 49/07,kontakt@hołysz.pl,+48 91 752 82 16,dostawca,Fabian Kusek,2025-05-15,aktywny
1796,Sadza Sp. z o.o. Spółka z o.o.,7837568162,612122606,PL,Swarzędz,96-451,pl. Fredry 867,kontakt@sadza.pl,+48 38 413 96 14,dostawca,pani Sandra Wincenciak,2022-12-02,aktywny
1797,Grupa Józwik S.A.,3854033697,731219102,PL,Świdnik,95-274,pl. Orzeszkowej 88,kontakt@grupa.pl,+48 27 667 52 97,klient,Alex Ziarno,2022-08-29,aktywny
1798,Gabinety Pioch-Pryk s.c. sp. z o.o.,6532735515,405740983,PL,Tarnowskie Góry,14-585,ul. Fiołkowa 32/60,kontakt@gabinety.pl,+48 30 368 86 98,klient,pani Nicole Rochowiak,2022-09-02,aktywny
1799,Spółdzielnia Klupś sp. z o.o.,3477146958,135841318,PL,Szczecinek,62-300,ul. Wojska Polskiego 306,kontakt@spółdzielnia.pl,+48 56 421 57 54,oba,Grzegorz Flisek,2025-08-15,nieaktywny
1800,Spółdzielnia Langier-Majtyka Sp.k. Sp. z o.o.,2006174133,548927868,PL,Bielsko-Biała,48-095,ul. Powstańców Wielkopolskich 82/42,kontakt@spółdzielnia.pl,+48 44 911 56 82,dostawca,Olgierd Swacha,2025-10-30,aktywny
1801,PPUH Kordus Sp. z o.o.,2189391274,826924077,Polska,Żyrardów,80-562,ul. Korczaka 32,kontakt@ppuh,+48 64 432 13 66,oba,pan Kamil Supernak,2025-02-06,aktywny
1802,Grupa Żybura s.c. sp. z o.o.,6853045553,971103666,PL,Jasło,75-028,ulica Matejki 900,kontakt@grupa.pl,+48 85 440 16 26,dostawca,Jędrzej Smolorz,2022-12-09,aktywny
1803,Gabinety Tyczka S.A.,0777894338,793815464,PL,Skawina,70-643,pl. Słowackiego 84/77,kontakt@gabinety.pl,+48 73 519 34 83,oba,pani Kalina Surmiak,2021-04-01,aktywny
1804,Fundacja Wąsek Sp. z o.o. Sp.k. S.A.,,555361948,PL,Racibórz,26-608,ul. Wróblewskiego 89/07,kontakt@fundacja.pl,+48 34 802 33 29,klient,Marcelina Zbiciak,2025-07-16,aktywny
1805,Danieluk s.c. Spółka z o.o.,0617906707,874492255,PL,Kielce,42-506,ul. Wybickiego 45/89,kontakt@danieluk.pl,+48 54 794 23 32,klient,Leon Postawa,2021-03-08,aktywny
1806,Spółdzielnia Składanek-Marciniszyn s.c. sp. z o.o.,4490769720,222949034,PL,Lębork,57-421,ulica Korfantego 07,kontakt@spółdzielnia.pl,+48 34 845 19 80,oba,Maksymilian Barteczko,2022-09-24,aktywny
1807,Siebert-Bakalarczyk Sp.k. Sp. J.,,220769011,PL,Gorzów Wielkopolski,24-118,pl. Daszyńskiego 188,kontakt@siebert-bakalarczyk.pl,+48 54 329 13 71,klient,Marcin Dyszkiewicz,2022-05-07,aktywny
1808,PPUH Zawiasa-Mikus i syn s.c. S.A.,0082283776,903800629,PL,Wyszków,98-101,ul. Wróblewskiego 70,kontakt@ppuh.pl,+48 34 564 16 50,dostawca,Tobiasz Klorek,2024-03-11,aktywny
1809,Grupa Humeniuk-Szynkiewicz Sp. z o.o. sp.k.,872-820-63-25,270488105,PL,Sanok,76-136,aleja Sawickiej 98,kontakt@grupa.pl,+48 21 271 63 83,oba,Tobiasz Jędrys,2021-02-25,nieaktywny
1810,Spółdzielnia Młynarz-Miszkiel Sp.k. Spółka z o.o.,6658952475,538464491,PL,Kraśnik,85-953,al. Stolarska 35,kontakt@spółdzielnia.pl,+48 83 526 98 12,oba,Sandra Dziadowicz,2025-05-05,nieaktywny
1811,Fundacja Łusiak Spółka z o.o.,7245257379,690678586,PL,Turek,53-883,ul. Moniuszki 570,kontakt@fundacja.pl,+48 99 356 70 73,oba,pan Ignacy Trochim,2023-06-26,aktywny
1812,Petryk S.A. Sp. z o.o.,1298897285,428903133,PL,Biłgoraj,28-103,plac Głowackiego 05/70,kontakt@petryk.pl,+48 62 634 17 86,klient,pani Bianka Trzos,2026-04-22,aktywny
1813,Fundacja Senger-Klos Sp.k. sp. z o.o.,6164170053,310319325,PL,Koło,29-529,plac Wyspiańskiego 45,kontakt@fundacja.pl,+48 20 760 76 64,klient,Paweł Jarczyk,2024-04-23,aktywny
1814,Grupa Indyk Sp. J.,6880316648,606752501,PL,Sochaczew,07-668,pl. Malczewskiego 35,kontakt@grupa.pl,+48 92 165 28 69,oba,Konrad Trzop,2026-06-07,aktywny
1815,Fundacja Brzykcy-Golenia Sp.k. Sp. z o.o.,242-853-54-12,528325882,PL,Ostrów Mazowiecka,51-839,ul. Miłosza 97,kontakt@fundacja.pl,+48 21 690 87 20,oba,pan Cezary Lesisz,2023-06-29,aktywny
1816,Hanke-Naumiuk Sp. z o.o. Sp.k. sp.k.,7017086719,494083725,PL,Środa Wielkopolska,81-274,plac Skłodowskiej-Curie 467,kontakt@hanke-naumiuk.pl,+48 16 591 69 93,klient,Szymon Koniec,2021-03-04,aktywny
1817,Pachowicz-Burzec Sp.j. Spółka z o.o.,0433689571,741134027,PL,Wieluń,55-977,plac Konopnickiej 329,kontakt@pachowicz-burzec.pl,+48 68 816 29 92,dostawca,pani Sara Krauza,2025-03-07,aktywny
1818,PPUH Maligłówka S.A. Sp. z o.o.,5110900701,975359484,PL,Opole,46-597,al. Sowia 29/27,kontakt@ppuh.pl,+48 74 668 56 13,oba,Paweł Osik,2022-07-16,aktywny
1819,PPUH Kudłacz Sp.k. Sp. z o.o.,2549723928,135188788,PL,Ostrowiec Świętokrzyski,91-039,ulica Mieszka I 54/23,kontakt@ppuh.pl,+48 12 790 32 89,dostawca,Tymoteusz Morka,2024-08-23,nieaktywny
1820,Kulczak i syn s.c. sp.k.,7475396593,903664722,PL,Świebodzice,48-071,al. Daszyńskiego 48/39,kontakt@kulczak.pl,+48 50 360 31 54,klient,Tobiasz Słomian,2024-11-10,aktywny
1821,Spółdzielnia Szyndler Sp. z o.o. Sp.k. Sp. J.,9420416410,474974183,PL,Kutno,61-727,plac Partyzantów 15/95,kontakt@spółdzielnia.pl,+48 67 398 15 97,dostawca,Karol Surmiak,2021-08-07,nieaktywny
1822,Stowarzyszenie Bejger s.c. sp. z o.o.,,580272553,PL,Płock,55-066,ul. Krańcowa 22,kontakt@stowarzyszenie.pl,+48 79 217 96 58,klient,Ida Krauz,2026-07-03,aktywny
1823,Sady s.c. S.A.,1749058493,876945993,PL,Zgorzelec,10-662,plac Matejki 476,kontakt@sady.pl,+48 77 621 20 45,dostawca,Tola Micał,2020-12-12,aktywny
1824,Spółdzielnia Tadla-Kleban i syn s.c. sp. z o.o.,5862405743,385114214,PL,Jarosław,37-027,pl. Waryńskiego 28/64,kontakt@spółdzielnia.pl,+48 14 678 89 83,oba,Ksawery Ufniarz,2025-06-15,aktywny
1825,Kolek S.A. Spółka z o.o.,5352791115,197204959,PL,Świdnik,82-357,pl. Słowicza 96/21,kontakt@kolek.pl,+48 77 480 98 19,oba,Urszula Glegoła,2023-05-14,aktywny
1826,Fundacja Baranowicz s.c. S.A.,8985932135,483289161,PL,Goleniów,49-426,al. Modrzewiowa 25,kontakt@fundacja.pl,+48 26 612 95 36,klient,Tadeusz Cywka,2025-08-25,aktywny
1827,Mudlaff-Płaneta S.A. sp. z o.o.,4800226423,471692249,PL,Zielona Góra,18-697,pl. Broniewskiego 98/01,kontakt@mudlaff-płaneta.pl,+48 95 237 11 52,dostawca,Monika Sypek,2023-11-19,aktywny
1828,Spółdzielnia Jeżyk-Sąsiadek Sp.j. sp. z o.o.,9878192140,605174444,PL,Tarnobrzeg,80-759,ulica Bydgoska 915,kontakt@spółdzielnia.pl,+48 88 846 79 45,dostawca,Emil Wajdzik,2023-12-24,aktywny
1829,Grupa Sklorz Sp. z o.o. Sp.k. Spółka z o.o.,2937178475,952982314,PL,Szczecin,79-169,ulica Sawickiej 174,kontakt@grupa.pl,+48 21 368 65 20,dostawca,Olgierd Ślimak,2022-08-12,aktywny
1830,Spółdzielnia Adamów sp.k.,7544584749,174379394,PL,Dębica,07-113,al. Asnyka 263,kontakt@spółdzielnia.pl,+48 46 104 24 88,klient,Nicole Prokopiak,2022-12-12,aktywny
1831,FPUH Czuryło Sp. z o.o.,5962751930,369689457,PL,Kołobrzeg,79-649,plac Drzymały 27,kontakt@fpuh.pl,+48 42 628 87 13,klient,pan Adrian Kolek,2022-04-11,aktywny
1832,Owsianka s.c. sp.k.,4479365613,175060440,PL,Gdynia,04-222,al. Stycznia 55,kontakt@owsianka.pl,+48 63 667 61 27,oba,Nikodem Stwora,2022-01-15,aktywny
1833,Gabinety Majorczyk sp. z o.o.,0706594801,439380589,PL,Pszczyna,33-897,al. Andersa 28,kontakt@gabinety.pl,+48 24 487 14 26,oba,Anita Borysewicz,2022-01-08,aktywny
1834,Fundacja Wiekiera Spółka z o.o.,3303727180,544374888,PL,Zamość,30-068,plac Tuwima 157,kontakt@fundacja.pl,+48 47 405 68 55,dostawca,Elżbieta Grymuza,2022-09-01,nieaktywny
1835,Naglik-Jewuła Sp. z o.o. Sp. z o.o.,2138078283,624275953,PL,Płock,34-714,al. Krasińskiego 79/53,kontakt@naglik-jewuła.pl,+48 61 526 19 50,oba,Łukasz Sołtan,2023-11-28,aktywny
1836,Bartoś Sp. z o.o. sp.k.,1802882526,181632823,PL,Śrem,42-293,aleja Batalionów Chłopskich 66/18,kontakt@bartoś.pl,+48 95 635 79 58,dostawca,Mikołaj Nawój,2021-01-08,nieaktywny
1837,Gabinety Pyziak-Szmaj Sp. z o.o. Spółka z o.o.,9469984286,638483167,PL,Toruń,13-741,pl. Asnyka 43,kontakt@gabinety.pl,+48 99 960 78 46,dostawca,Arkadiusz Baka,2020-12-17,aktywny
1838,Supeł S.A. Sp. z o.o.,3132988719,951122269,PL,Nowa Sól,62-548,ul. Wiosenna 78,kontakt@supeł.pl,+48 37 863 30 12,klient,Krystyna Sterna,2025-05-29,nieaktywny
1839,Denkiewicz s.c. sp.k.,6427786261,681515528,PL,Świecie,52-647,al. Narutowicza 257,kontakt@denkiewicz.pl,+48 34 582 28 77,dostawca,Kalina Majtyka,2024-10-21,nieaktywny
1840,FPUH Zimmer-Szymula S.A. Sp. J.,3208778343,569903266,PL,Chojnice,75-673,ulica Rejtana 15/42,kontakt@fpuh.pl,+48 11 516 33 95,oba,Bartek Wujec,2023-02-10,aktywny
1841,Moryc S.A. Spółka z o.o.,5573562324,963524623,PL,Mysłowice,07 190,al. Floriana 505,kontakt@moryc.pl,+48 74 759 14 17,dostawca,Alan Nowotny,2024-04-07,aktywny
1842,Wawrzyczek Sp. z o.o. Sp.k. sp.k.,5973027327,282767261,pl,Grudziądz,04-414,al. Cicha 51,kontakt@wawrzyczek.pl,+48 68 123 49 30,dostawca,Alex Jargieło,2021-01-10,aktywny
1843,PPUH Kosz-Patalas Sp. z o.o. sp. z o.o.,7704116780,677068615,PL,Piaseczno,55 915,ulica Solidarności 82/22,kontakt@ppuh.pl,+48 57 907 84 63,oba,Konstanty Grądziel,2023-10-05,aktywny
1844,Cegła S.A. Sp. J.,7386569046,399077338,Polska,Bochnia,17-189,pl. Sienkiewicza 620,kontakt@cegła.pl,+48 96 541 73 39,klient,Aleksander Nieradzik,2022-08-29,aktywny
1845,Brzykcy i syn s.c. sp.k.,1248955879,840314695,PL,Ostrowiec Świętokrzyski,33-548,plac Wyszyńskiego 13/32,kontakt@brzykcy.pl,+48 14 110 94 64,klient,pani Angelika Błaziak,2023-03-29,aktywny
1846,Woda S.A. Spółka z o.o.,5994264073,543004859,PL,Słupsk,32-751,al. Mieszka I 452,kontakt@woda.pl,+48 92 668 86 51,klient,Emil Mich,2021-03-22,aktywny
1847,Fundacja Pilarek-Wygoda i syn s.c. Sp. J.,0339801383,635581394,PL,Będzin,79-454,ul. Cisowa 986,kontakt@fundacja.pl ,+48 59 247 79 38,klient,Eryk Parafiniuk,2024-07-19,aktywny
1848,Skubała-Bruzda Sp.k. sp.k.,058-108-01-52,978975242,PL,Śrem,46-254,al. Bydgoska 34/98,kontakt@skubała-bruzda.pl,+48 37 568 45 35,dostawca,pani Inga Opyrchał,2025-01-31,aktywny
1849,Filiks-Przekwas i syn s.c. sp. z o.o.,7728715658,752999241,PL,Łaziska Górne,12-343,pl. Władysława Łokietka 559,kontakt@filiks-przekwas.pl,+48 95 735 57 69,oba,Cezary Zagożdżon,2023-11-16,aktywny
1850,Spółdzielnia Milcarz i syn s.c. S.A.,5959955054,448117984,PL,Leszno,82-524,aleja Nowowiejska 147,kontakt@spółdzielnia.pl,+48 99 744 59 27,oba,pani Aniela Sady,2021-06-27,aktywny
1851,FPUH Berus-Sykut Sp. z o.o. Sp.k. Spółka z o.o.,8541839528,840536977,POL,Mińsk Mazowiecki,35-946,al. Letniskowa 35/38,kontakt@fpuh.pl,+48 27 856 94 56,klient,Hubert Stupak,2021-04-01,nieaktywny
1852,PPUH Sakwa-Matraszek Sp.k. Sp. J.,8821651197,775547178,PL,Leszno,20-297,aleja Batalionów Chłopskich 24/15,kontakt@ppuh.pl,+48 22 406 57 72,dostawca,pan Maksymilian Zdancewicz,2023-11-16,aktywny
1853,Gabinety Glazik Sp.k. Sp. z o.o.,3027694737,127617326,PL,Szczecinek,26-763,pl. Kazimierza Wielkiego 346,kontakt@gabinety.pl,+48 49 158 34 56,oba,pani Aniela Pryszcz,2023-04-10,aktywny
1854,Grupa Ziółko-Wrochna Sp. z o.o. Sp. z o.o.,2440293639,410914307,PL,Ciechanów,94-552,aleja Szarych Szeregów 939,kontakt@grupa.pl,+48 84 356 21 32,oba,Urszula Prokopczyk,2021-07-20,aktywny
1855,  Gabinety Dzierwa Sp. z o.o.,5257959904,859567175,PL,Wałcz,65-086,aleja Wiązowa 37/10,kontakt@gabinety.pl,+48 47 936 71 87,dostawca,Michał Klinger,2021-07-20,aktywny
1856,Kubanek-Świerszcz Sp.j. Sp. J.,3254601897,193373011,PL,Toruń,61708,ulica Wojska Polskiego 896,kontakt@kubanek-świerszcz.pl,+48 37 919 48 39,dostawca,pan Konstanty Rosłoń,2026-03-11,aktywny
1857,Bartkowicz-Wypiór Sp. z o.o. Sp.k. S.A.,1339962767,687191522,PL,Ząbki,27-121,ulica Bema 394,kontakt@bartkowicz-wypiór.pl,+48 22 290 73 40,dostawca,pan Tomasz Szaj,2021-12-31,aktywny
1858,Gabinety Klama Sp. z o.o.,2029138135,142341383,PL,Goleniów,75-852,pl. Władysława Łokietka 45/63,kontakt@gabinety.pl,+48 48 706 49 81,klient,Dominik Tryka,2022-05-20,aktywny
1859,Kozok-Polakiewicz i syn s.c. sp.k.,0888196643,969268634,PL,Bochnia,81-921,plac Bolesława Chrobrego 948,kontakt@kozok-polakiewicz.pl,+48 31 292 24 83,klient,Kamil Bączkiewicz,2020-12-17,aktywny
1860,FPUH Kukieła Sp.k. Sp. z o.o.,3356831721,350723630,PL,Ełk,73-472,aleja Sowia 06/83,kontakt@fpuh.pl,+48 91 508 72 16,dostawca,Kornel Warmuz,2021-05-02,nieaktywny
1861,Grupa Figat-Wyrobek Sp.j. Sp. z o.o.,4050133202,919740089,PL,Gorzów Wielkopolski,22-359,ul. Prusa 399,kontakt@grupa.pl,+48 45 918 43 85,dostawca,Janina Hałat,2025-05-18,aktywny
1862,Kwarciak S.A. S.A.,1487650775,472322592,PL,Pabianice,35-996,plac Fredry 67/34,kontakt@kwarciak.pl ,+48 56 824 93 68,klient,Ryszard Bulanda,2023-02-04,aktywny
1863,PPUH Skomra-Duszczak Sp. z o.o. Sp.k. S.A.,,800426534,PL,Bielsko-Biała,94-064,aleja Podwale 30/14,kontakt@ppuh.pl,+48 51 889 98 66,klient,Paweł Trzop,2022-08-31,aktywny
1864,Małyszek s.c. sp.k.,9630667006,470838197,PL,Wyszków,91-605,pl. Maczka 04,kontakt@małyszek.pl,+48 62 711 60 60,oba,Piotr Krysik,2023-04-24,nieaktywny
1865,PPUH Bela-Sowała Sp.j. sp. z o.o.,3370071583,979171439,PL,Żyrardów,16-414,ul. Miłosza 99,kontakt@ppuh.pl,+48 14 693 73 18,dostawca,Witold Siemion,2021-02-06,aktywny
1866,Smutek-Ptok i syn s.c. sp. z o.o.,3234306586,935710643,PL,Lubin,34-514,pl. Jadwigi 42/03,kontakt@smutek-ptok.pl,+48 48 392 99 79,oba,pani Kalina Barszczak,2026-06-17,aktywny
1867,Juraszczyk Sp.j. sp.k.,2375909725,252622349,PL,Swarzędz,86 099,ul. Krakowska 60/15,kontakt@juraszczyk.pl,+48 80 958 98 28,oba,pan Nataniel Burdach,2024-10-01,aktywny
1868,Bancerz Sp.j. Spółka z o.o.,4551391961,939368680,PL,Płock,27-898,ulica Drzymały 40/24,kontakt@bancerz.pl,+48 38 418 76 31,klient,pan Maksymilian Horbacz,2025-05-12,aktywny
1869,Gabinety Kurpanik-Kaczan Sp. z o.o. Sp.k. sp.k.,3873693236,671111556,pl,Ruda Śląska,16-136,al. Solidarności 45/27,kontakt@gabinety.pl,+48 15 364 98 40,dostawca,Bruno Zaniewicz,2023-06-03,aktywny
1870,Gabinety Brzęk Sp. z o.o. Sp.k. sp.k.,4664867419,521867614,PL,Oleśnica,49-302,ul. Wierzbowa 81,kontakt@gabinety.pl,+48 73 885 21 26,klient,Sonia Posłuszny,2025-01-17,aktywny
1871,Grupa Szok-Bartłomiejczyk Sp. z o.o. S.A.,5529776018,379331896,PL,Łuków,37-174,ulica Sikorskiego 401,kontakt@grupa.pl,+48 76 409 10 75,klient,Karol Gajowiak,2021-10-20,aktywny
1872,Basa-Irzyk Sp.j. Spółka z o.o.,4157281431,854891556,PL,Giżycko,85-444,pl. Władysława Łokietka 68,kontakt@basa-irzyk.pl,+48 19 174 63 78,dostawca,Mieszko Stróż,2021-11-19,aktywny
1873,Wężyk-Nikel i syn s.c. S.A.,0361189266,903712640,PL,Wyszków,64-758,plac Stycznia 54,kontakt@wężyk-nikel.pl,+48 53 449 53 90,dostawca,pan Maks Kowara,2024-10-22,nieaktywny
1874,  PPUH Fryś-Osojca s.c. Spółka z o.o.,7140344542,462884487,PL,Tarnowskie Góry,67-539,plac Władysława Łokietka 48/99,kontakt@ppuh.pl,+48 97 520 64 13,klient,Adam Sieja,2023-02-23,nieaktywny
1875,Grupa Mosur Sp. z o.o.,1962272386,504164214,PL,Gorlice,90-749,plac Jana III Sobieskiego 635,kontakt@grupa.pl,+48 45 803 26 98,klient,pani Marianna Jargiło,2025-07-19,aktywny
1876,Borysiak-Wojsław Sp.k. sp. z o.o.,0934099165,833331493,PL,Bielsko-Biała,59-160,al. Dolna 56/50,kontakt@borysiak-wojsław.pl,+48 15 656 24 18,klient,Fryderyk Bork,2025-03-05,aktywny
1877,Szkoła Sp. z o.o. Spółka z o.o.,0348484373,972900572,PL,Żagań,06-085,plac Prusa 06,kontakt@szkoła.pl,+48 15 115 98 63,klient,Grzegorz Porwoł,2026-01-07,nieaktywny
1878,Szpala Sp.k. Spółka z o.o.,9514295444,758264623,PL,Lębork,57-797,ulica Leśna 66/89,kontakt@szpala.pl,+48 65 689 52 47,klient,Jeremi Bochnia,2021-07-04,nieaktywny
1879,Sędek S.A. Sp. J.,7562752803,112864321,PL,Iława,19-008,al. Północna 81,kontakt@sędek.pl,+48 64 860 18 92,dostawca,Nataniel Cąkała,2022-11-08,aktywny
1880,Gągała-Radziewicz S.A. S.A.,9459235169,864073397,PL,Zgorzelec,19-186,ulica Bema 84,kontakt@gągała-radziewicz.pl,+48 81 333 30 64,dostawca,pan Igor Hankiewicz,2026-04-29,aktywny
1881,Gabara-Kudlak s.c. Sp. J.,100-170-78-19,234700850,Poland,Giżycko,39-033,aleja Glówna 84,kontakt@gabara-kudlak.pl,+48 92 771 53 67,dostawca,pan Oliwier Kempka,2021-05-25,aktywny
1882,Stochel Sp. z o.o. sp. z o.o.,0494841429,771639815,PL,Leszno,45-684,aleja Poznańska 722,kontakt@stochel.pl,+48 51 830 54 29,oba,Jan Konat,2022-10-28,aktywny
1883,Stowarzyszenie Pyć Sp.k. S.A.,2875679814,808180788,PL,Bartoszyce,86-369,ul. Browarna 30/28,kontakt@stowarzyszenie.pl,+48 17 241 63 51,dostawca,Wojciech Buśko,2023-08-18,aktywny
1884,Grupa Dankiewicz Sp. J.,711-588-21-85,603309832,PL,Świdnica,92-966,plac Jadwigi 95,kontakt@grupa.pl,+48 97 634 86 45,klient,Apolonia Majtczak,2020-07-31,aktywny
1885,Długozima Sp. z o.o. Sp.k. sp.k.,116-114-64-42,509981129,Poland,Świdnica,61-570,al. Mazowiecka 28/02,kontakt@długozima.pl,+48 24 696 74 40,klient,Apolonia Maziarczyk,2025-09-08,aktywny
1886,PPUH Kochman-Drozda Sp.j. Spółka z o.o.,2473885233,633694436,PL,Siemianowice Śląskie,97353,ul. Widokowa 891,kontakt@ppuh.pl,+48 48 672 96 73,dostawca,Patryk Świech,2020-08-11,aktywny
1887,FPUH Budzeń-Folga Sp. z o.o. Sp.k. sp.k.,8125325127,192928243,PL,Zamość,93-413,ul. Krasickiego 855,kontakt@fpuh.pl,+48 81 267 31 61,dostawca,pan Gustaw Kukawka,2021-03-27,aktywny
1888,FPUH Ulrych Sp. J.,6602865388,330862831,PL,Gdańsk,70-778,plac Słowicza 06/96,kontakt@fpuh.pl,+48 69 164 62 49,dostawca,Radosław Koterba,2026-07-01,aktywny
1889,Roskosz-Tadeusiak i syn s.c. Sp. z o.o.,0037090703,970528253,PL,Myszków,55-016,ul. Nowa 567,kontakt@roskosz-tadeusiak.pl,+48 73 632 17 77,oba,Jerzy Sośniak,2026-04-20,aktywny
1890,Stowarzyszenie Lada S.A.,6932070982,351876614,PL,Gdynia,11-409,plac Kasprowicza 136,kontakt@stowarzyszenie.pl,+48 75 377 86 29,oba,Radosław Koczara,2025-06-09,aktywny
1891,Grupa Gągała-Hallmann S.A. Spółka z o.o.,8762965071,957322024,PL,Kłodzko,03-525,plac Andersa 69/92,kontakt@grupa.pl,+48 97 984 44 53,dostawca,Gustaw Kusio,2024-02-10,aktywny
1892,Fundacja Maciejuk S.A.,765-419-82-89,210555536,PL,Olkusz,24-331,aleja Źródlana 24,kontakt@fundacja.pl,+48 86 377 73 71,oba,Bruno Bok,2024-06-25,aktywny
1893,Grupa Maszkiewicz-Tworzydło Sp. z o.o. Sp.k. Sp. z o.o.,3452202620,526492306,PL,Bytom,59-727,aleja Prusa 55/36,kontakt@grupa.pl,+48 18 321 26 59,oba,Arkadiusz Gomoła,2023-06-05,aktywny
1894,Stowarzyszenie Lepak Spółka z o.o.,6351685222,391803243,PL,Bełchatów,75-951,aleja Nadrzeczna 960,kontakt@stowarzyszenie.pl,+48 62 862 71 57,klient,Konstanty Kamela,2021-12-17,aktywny
1895,Fundacja Makaruk sp.k.,6933276332,376887926,PL,Zamość,98-219,ulica Chełmońskiego 945,kontakt@fundacja.pl,+48 30 645 55 99,dostawca,Borys Bystroń,2022-05-06,aktywny
1896,Macek Sp.k. sp.k.,3723722597,323228405,PL,Iława,18-538,ul. Kasztanowa 029,kontakt@macek.pl,+48 15 338 39 70,oba,Kamila Drzał,2021-02-25,aktywny
1897,PPUH Stefanik-Bartuś S.A. Sp. J.,9423403709,386794101,PL,Tychy,63-303,ulica Lelewela 04,kontakt@ppuh.pl,+48 35 338 35 97,klient,Kalina Musiolik,2026-04-30,aktywny
1898,Gabinety Aleksandrzak-Murach Sp. z o.o. Sp.k. Spółka z o.o.,561-257-80-46,599010785,PL,Wągrowiec,31-605,aleja Kraszewskiego 37/06,kontakt@gabinety.pl,+48 67 203 85 77,oba,Hubert Pachowicz,2024-09-22,aktywny
1899,Gabinety Muc Sp. J.,1769680646,496778833,PL,Stargard Szczeciński,16-860,ulica Dąbrowskiej 48,kontakt@gabinety.pl,+48 50 409 98 28,klient,pani Justyna Balik,2024-09-05,aktywny
1900,Downar Sp. z o.o. Sp. J.,8379264056,321468507,PL,Świecie,75-050,ulica Żurawia 59,kontakt@downar.pl ,+48 91 943 67 35,oba,Marika Dargacz,2025-05-13,aktywny
1901,Grupa Halik Sp. z o.o. Spółka z o.o.,9342883906,337241559,PL,Warszawa,08-662,ulica Klasztorna 162,kontakt@grupa.pl,+48 89 721 69 96,oba,Cyprian Miękina,2026-05-14,nieaktywny
1902,FPUH Zamora Sp. J.,3150321983,501720022,PL,Kielce,66-758,plac Hallera 079,kontakt@fpuh.pl,+48 55 917 56 20,oba,Olaf Pajda,2020-11-22,aktywny
